code,Quantile
asian journal of pharmaceutical research and health care,N/A
asterion-philosophie histoire des idees pensee politique,N/A
biomedical engineering-applications basis communications,N/A
bookbird-a journal of international childrens literature,N/A
bulletin du centre de recherche du chateau de versailles,N/A
camino real-estudios de las hispanidades norteamericanas,N/A
comparative economic research-central and eastern europe,N/A
con-textos kantianos-international journal of philosophy,N/A
countertext-a journal for the study of the post-literary,N/A
cuadernos inter c a mbio sobre centroamerica y el caribe,N/A
electronic journal of research in educational psychology,N/A
episteme-a journal of individual and social epistemology,N/A
euro-mediterranean journal for environmental integration,N/A
european journal of orthopaedic surgery and traumatology,N/A
expert review of precision medicine and drug development,N/A
italian journal of engineering geology and environment,N/A
journal of canadian studies-revue d etudes canadiennes,N/A
joint commission journal on quality and patient safety,N/A
journal of brachial plexus and peripheral nerve injury,N/A
journal of criminological research policy and practice,N/A
journal of eastern european and central asian research,N/A
journal of international commerce economics and policy,N/A
journal of outdoor recreation education and leadership,N/A
journal of the asean federation of endocrine societies,N/A
jundishapur journal of natural pharmaceutical products,N/A
kotuitui-new zealand journal of social sciences online,N/A
labor-studies in working-class history of the americas,N/A
majalah kedokteran bandung-mkb-bandung medical journal,N/A
navigator-subsidios para a historia maritima do brasil,N/A
online journal of communication and media technologies,N/A
organization technology and management in construction,N/A
pennsylvania history-a journal of mid-atlantic studies,N/A
proceedings of the acm on programming languages-pacmpl,N/A
recent advances in electrical & electronic engineering,N/A
recherche et applications en marketing-english edition,N/A
reports of forestry research-zpravy lesnickeho vyzkumu,N/A
review of pacific basin financial markets and policies,N/A
revista colombiana de investigaciones agroindustriales,N/A
revista de ciencias humanas da universidade de taubate,N/A
revista de psicologia clinica con ninos y adolescentes,N/A
rhizomata-a journal for ancient philosophy and science,N/A
romanian journal of communication and public relations,N/A
scrutiny2-issues in english studies in southern africa,N/A
sibirica-interdisciplinary journal of siberian studies,N/A
sport business and management-an international journal,N/A
sport tk-revista euroamericana de ciencias del deporte,N/A
urvio-revista latinoamericana de estudios de seguridad,N/A
vegueta-anuario de la facultad de geografia e historia,N/A
advances in materials research-an international journal,N/A
advances in mental health and intellectual disabilities,N/A
advances in pharmacological and pharmaceutical sciences,N/A
asia pacific journal of innovation and entrepreneurship,N/A
asiatic-iium journal of english language and literature,N/A
australasian journal of special and inclusive education,N/A
bulletin of the council for research in music education,N/A
bogoslovska smotra-ephemerides theologicae zagrabienses,N/A
brazilian journal of operations & production management,N/A
bulletin of chemical reaction engineering and catalysis,N/A
bulletin of irkutsk state university-series mathematics,N/A
ccf transactions on pervasive computing and interaction,N/A
comitatus-a journal of medieval and renaissance studies,N/A
canadian journal of pain-revue canadienne de la douleur,N/A
communications for statistical applications and methods,N/A
communications in mathematical biology and neuroscience,N/A
contexto-revista do programa de pos-graduacao em letras,N/A
cumhuriyet ilahiyat dergisi-cumhuriyet theology journal,N/A
documenti e studi sulla tradizione filosofica medievale,N/A
emitter-international journal of engineering technology,N/A
empirical research in vocational education and training,N/A
ensayos-revista de la facultad de educacion de albacete,N/A
environmental health engineering and management journal,N/A
europolity-continuity and change in european governance,N/A
ieee open journal of intelligent transportation systems,N/A
ieee open journal of the industrial electronics society,N/A
international journal of applied psychoanalytic studies,N/A
international journal of corrosion and scale inhibition,N/A
international journal of electronic government research,N/A
international journal of engineering research in africa,N/A
international journal of enterprise information systems,N/A
journal of theoretical and applied mechanics-bulgaria,N/A
journal of the indonesian tropical animal agriculture,N/A
kiva-journal of southwestern anthropology and history,N/A
library collections acquisitions & technical services,N/A
malaysian journal of fundamental and applied sciences,N/A
metacritic journal for comparative studies and theory,N/A
narrative works-issues investigations & interventions,N/A
obrabotka metallov-metal working and material science,N/A
pacific rim international journal of nursing research,N/A
pakistan journal of statistics and operation research,N/A
research and practice in technology enhanced learning,N/A
revista de llengua i dret-journal of language and law,N/A
simiolus-netherlands quarterly for the history of art,N/A
she ji-the journal of design economics and innovation,N/A
shofar-an interdisciplinary journal of jewish studies,N/A
south east european journal of economics and business,N/A
southern african journal of anaesthesia and analgesia,N/A
strategic change-briefings in entrepreneurial finance,N/A
telos-revista interdisciplinaria en ciencias sociales,N/A
transactions of the american philological association,N/A
turkiye jeoloji bulteni-geological bulletin of turkey,N/A
uspekhi fiziki metallov-progress in physics of metals,N/A
vestnik of saint petersburg university earth sciences,N/A
veterinary parasitology- regional studies and reports,N/A
voprosy leksikografii-russian journal of lexicography,N/A
zeitschrift fur agyptische sprache und altertumskunde,N/A
a&c-revista de direito administrativo & constitucional,N/A
acta dermatovenerologica alpina pannonica et adriatica,N/A
adaptation-the journal of literature on screen studies,N/A
altre modernita-rivista di studi letterari e culturali,N/A
annales bogorienses-journal of tropical general botany,N/A
anthropological measurements of philosophical research,N/A
brills annual of afroasiatic languages and linguistics,N/A
celehis-revista del centro de letras hispanoamericanas,N/A
current therapeutic research-clinical and experimental,N/A
calle 14-revista de investigacion en el campo del arte,N/A
congress & the presidency-a journal of capital studies,N/A
cordis-revista eletronica de historia social da cidade,N/A
danza e ricerca-laboratorio di studi scritture visioni,N/A
ekonomska misao i praksa-economic thought and practice,N/A
eksplorium-buletin pusat teknologi bahan galian nuklir,N/A
estudios de historia moderna y contemporanea de mexico,N/A
european journal of pragmatism and american philosophy,N/A
european journal of tourism hospitality and recreation,N/A
european review of history-revue europeenne d histoire,N/A
facta universitatis-series mathematics and informatics,N/A
farmeconomia-health economics and therapeutic pathways,N/A
foundations and trends in computer graphics and vision,N/A
future of food-journal on food agriculture and society,N/A
gim international-the worldwide magazine for geomatics,N/A
geopoliticas-revista de estudios sobre espacio y poder,N/A
international journal of health care quality assurance,N/A
intelligent systems in accounting finance & management,N/A
international journal of advanced and applied sciences,N/A
international journal of assessment tools in education,N/A
international journal of event and festival management,N/A
international journal of gastrointestinal intervention,N/A
international journal of knowledge and systems science,N/A
international journal of nanoelectronics and materials,N/A
international journal of space science and engineering,N/A
international journal of telemedicine and applications,N/A
international journal of urban sustainable development,N/A
international journal of wireless information networks,N/A
international review on public and nonprofit marketing,N/A
osmanli arastirmalari-the journal of ottoman studies,N/A
p-adic numbers ultrametric analysis and applications,N/A
psychology-journal of the higher school of economics,N/A
qualitative research in organizations and management,N/A
quintana-revista do departamento de historia da arte,N/A
ramus-critical studies in greek and roman literature,N/A
ricyde-revista internacional de ciencias del deporte,N/A
revista electronica calidad en la educacion superior,N/A
revista romaneasca pentru educatie multidimensionala,N/A
ri vista-ricerche per la progettazione del paesaggio,N/A
saudi journal of kidney diseases and transplantation,N/A
scire-representacion y organizacion del conocimiento,N/A
signa-revista de la asociacion espanola de semiotica,N/A
south african journal of international affairs-sajia,N/A
st theresa journal of humanities and social sciences,N/A
symposium-canadian journal of continental philosophy,N/A
universitas-monthly review of philosophy and culture,N/A
universum-revista de humanidades y ciencias sociales,N/A
world federation of occupational therapists bulletin,N/A
alkoholizm i narkomania-alchoholism and drug addition,N/A
american journal of clinical and experimental urology,N/A
anuario colombiano de historia social y de la cultura,N/A
anuario iberoamericano de derecho internacional penal,N/A
applied computational intelligence and soft computing,N/A
asia pacific journal of counselling and psychotherapy,N/A
bulletin of the american schools of oriental research,N/A
confluencia-revista hispanica de cultura y literatura,N/A
clinical medicine insights-endocrinology and diabetes,N/A
communications on applied mathematics and computation,N/A
current trends in translation teaching and learning e,N/A
current writing-text and reception in southern africa,N/A
eidola-international journal of classical art history,N/A
european journal of management and business economics,N/A
facta universitatis-series electronics and energetics,N/A
gastroenterology review-przeglad gastroenterologiczny,N/A
giornale italiano di medicina del lavoro ed ergonomia,N/A
ite transactions on media technology and applications,N/A
indian journal of thoracic and cardiovascular surgery,N/A
international journal of applied behavioral economics,N/A
international journal of child youth & family studies,N/A
international journal of electric and hybrid vehicles,N/A
international journal of endocrinology and metabolism,N/A
international journal of housing markets and analysis,N/A
international journal of intelligent unmanned systems,N/A
international journal of internet protocol technology,N/A
international journal of pharmaceutical investigation,N/A
international journal of politics culture and society,N/A
international journal of quality and service sciences,N/A
international journal of system dynamics applications,N/A
international journal of technology enhanced learning,N/A
international quarterly of community health education,N/A
iranian journal of psychiatry and behavioral sciences,N/A
iranian journal of psychiatry and clinical psychology,N/A
izvestiya vuzov-prikladnaya khimiya i biotekhnologiya,N/A
journal of chinese economic and foreign trade studies,N/A
journal of current issues and research in advertising,N/A
journal of entrepreneurship management and innovation,N/A
journal of ethnic & cultural diversity in social work,N/A
journal of industrial engineering and management-jiem,N/A
journal of korean society for atmospheric environment,N/A
journal of prevention & intervention in the community,N/A
journal of quality assurance in hospitality & tourism,N/A
journal of research in marketing and entrepreneurship,N/A
journal of sustainable water in the built environment,N/A
transactions on electrical and electronic materials,N/A
turk pediatri arsivi-turkish archives of pediatrics,N/A
zagreb international review of economics & business,N/A
zibaldone-estudios italianos de la torre del virrey,N/A
automatic documentation and mathematical linguistics,N/A
acta universitatis sapientiae-film and media studies,N/A
african journal of international and comparative law,N/A
apeiron-a journal for ancient philosophy and science,N/A
australasian accounting business and finance journal,N/A
bulgarian historical review-revue bulgare d histoire,N/A
cercles-revue pluridisciplinaire du monde anglophone,N/A
clinica e investigacion en ginecologia y obstetricia,N/A
clinical and experimental reproductive medicine-cerm,N/A
communications in applied and industrial mathematics,N/A
cross-currents-east asian history and culture review,N/A
cuadernos de musica artes visuales y artes escenicas,N/A
current physical medicine and rehabilitation reports,N/A
egyptian journal of pediatric allergy and immunology,N/A
estudios de linguistica-universidad de alicante-elua,N/A
estudios del desarrollo social-cuba y america latina,N/A
frantsuzskii ezhegodnik-annuaire d etudes francaises,N/A
health services research and managerial epidemiology,N/A
hormone molecular biology and clinical investigation,N/A
ibnosina journal of medicine and biomedical sciences,N/A
information technologies & international development,N/A
international journal for the study of new religions,N/A
international journal of african renaissance studies,N/A
international journal of applied geospatial research,N/A
international journal of applied pattern recognition,N/A
international journal of athletic therapy & training,N/A
international journal of cyber warfare and terrorism,N/A
international journal of digital crime and forensics,N/A
international journal of engineering and geosciences,N/A
international journal of gender and entrepreneurship,N/A
international journal of human rights in health care,N/A
international journal of knowledge-based development,N/A
international journal of mobile and blended learning,N/A
international journal of sociology and social policy,N/A
international journal of swarm intelligence research,N/A
international journal of workplace health management,N/A
iranian journal of materials science and engineering,N/A
iranian journal of pediatric hematology and oncology,N/A
italian journal of vascular and endovascular surgery,N/A
jp journal of algebra number theory and applications,N/A
journal for the study of religion nature and culture,N/A
journal of clinical and experimental hematopathology,N/A
journal of cognitive engineering and decision making,N/A
journal of control automation and electrical systems,N/A
journal of information technology education-research,N/A
journal of modern russian history and historiography,N/A
journal of naval architecture and marine engineering,N/A
journal of nuclear engineering and radiation science,N/A
journal of small business and enterprise development,N/A
journal of university teaching and learning practice,N/A
journal of the australasian tax teachers association,N/A
journal of the canadian health libraries association,N/A
jurnal komunikasi-malaysian journal of communication,N/A
kritika-explorations in russian and eurasian history,N/A
language context and text-the social semiotics forum,N/A
law & practice of international courts and tribunals,N/A
management-journal of contemporary management issues,N/A
medical-surgical journal-revista medico-chirurgicala,N/A
nispacee journal of public administration and policy,N/A
nauka televideniya-the art and science of television,N/A
fudan journal of the humanities and social sciences,N/A
gospodarka narodowa-the polish journal of economics,N/A
gosudarstvo religiya tserkov v rossii i za rubezhom,N/A
ic-revista cientifica de informacion y comunicacion,N/A
international journal of african historical studies,N/A
indian journal of vascular and endovascular surgery,N/A
informationen aus orthodontie und kieferorthopaedie,N/A
interdisciplinary journal of problem-based learning,N/A
international journal for ion mobility spectrometry,N/A
international journal of buddhist thought & culture,N/A
international journal of child health and nutrition,N/A
international journal of data science and analytics,N/A
international journal of discrimination and the law,N/A
international journal of grid and utility computing,N/A
international journal of health and allied sciences,N/A
international journal of orthodontic rehabilitation,N/A
international journal of therapy and rehabilitation,N/A
international research in early childhood education,N/A
istoriya-elektronnyi nauchno-obrazovatelnyi zhurnal,N/A
journal of religion and spirituality in social work,N/A
journal of adventure education and outdoor learning,N/A
journal of asian security and international affairs,N/A
journal of bronchology & interventional pulmonology,N/A
journal of child and adolescent psychiatric nursing,N/A
journal of clinical and translational endocrinology,N/A
journal of co-operative organization and management,N/A
journal of computer virology and hacking techniques,N/A
journal of dynamical systems and geometric theories,N/A
journal of global operations and strategic sourcing,N/A
journal of human behavior in the social environment,N/A
journal of indian council of philosophical research,N/A
journal of international humanitarian legal studies,N/A
journal of islamic accounting and business research,N/A
journal of science and technology policy management,N/A
journal of technology and chinese language teaching,N/A
journal of theoretical and philosophical psychology,N/A
journal of the operations research society of china,N/A
korean journal of international and comparative law,N/A
lares-quadrimestrale di studi demoetnoantropologici,N/A
logos-revista de linguistica filosofia y literatura,N/A
merkur-deutsche zeitschrift fur europaisches denken,N/A
nora-nordic journal of feminist and gender research,N/A
nanoscience and technology-an international journal,N/A
noveishaya istoriya rossii-modern history of russia,N/A
optoelectronics instrumentation and data processing,N/A
philament-an online journal of the arts and culture,N/A
profile-issues in teachers professional development,N/A
psyecology-revista bilingue de psicologia ambiental,N/A
revista de filologia de la universidad de la laguna,N/A
revue roumaine de mathematiques pures et appliquees,N/A
russell-the journal of the bertrand russell studies,N/A
regenerative engineering and translational medicine,N/A
remote sensing applications-society and environment,N/A
research in comparative and international education,N/A
research in educational administration & leadership,N/A
revista academica da faculdade de direito do recife,N/A
revista de estudios en seguridad internacional-resi,N/A
revista de gestao ambiental e sustentabilidade-geas,N/A
revista de investigaciones politicas y sociologicas,N/A
symposium-a quarterly journal in modern literatures,N/A
southern african journal of gynaecological oncology,N/A
studies in psychology-psikoloji calismalari dergisi,N/A
twms journal of applied and engineering mathematics,N/A
techniques in vascular and interventional radiology,N/A
journal of information and organizational sciences,N/A
journal of international migration and integration,N/A
journal of international and comparative education,N/A
journal of obstetric anaesthesia and critical care,N/A
journal of optoelectronic and biomedical materials,N/A
journal of pharmaceutical health care and sciences,N/A
journal of pharmaceutical health services research,N/A
journal of physical education recreation and dance,N/A
journal of property planning and environmental law,N/A
journal of robotics networking and artificial life,N/A
journal of the practice of cardiovascular sciences,N/A
kwartalnik historii zydow-jewish history quarterly,N/A
lebenswelt-aesthetics and philosophy of experience,N/A
moenia-revista lucense de linguistica & literatura,N/A
montenegrin journal of sports science and medicine,N/A
nordisk sygeplejeforskning-nordic nursing research,N/A
ocean systems engineering-an international journal,N/A
pertanika journal of tropical agricultural science,N/A
pasado y memoria-revista de historia contemporanea,N/A
pertanika journal of social science and humanities,N/A
pharmacy & pharmacology-farmatsiya i farmakologiya,N/A
pielegniarstwo xxi wieku-nursing in the 21 century,N/A
proceedings of the indian national science academy,N/A
revista corpoica-ciencia y tecnologia agropecuaria,N/A
revista internacional de comunicacion y desarrollo,N/A
revista de direito sanitario-journal of health law,N/A
revista de investigacion sobre flamenco-la madruga,N/A
revista de investigaciones-universidad del quindio,N/A
sae international journal of transportation safety,N/A
search-journal of media and communication research,N/A
sojourn-journal of social issues in southeast asia,N/A
seminars in cardiothoracic and vascular anesthesia,N/A
therapeutic advances in gastrointestinal endoscopy,N/A
transforming government- people process and policy,N/A
turkish journal of anaesthesiology and reanimation,N/A
universitas-revista de ciencias sociales y humanas,N/A
vestnik drevnei istorii-journal of ancient history,N/A
vestnik permskogo universiteta-juridicheskie nauki,N/A
vestnik sankt-peterburgskogo universiteta-istoriya,N/A
zeitschrift fur die alttestamentliche wissenschaft,N/A
advanced manufacturing-polymer & composites science,N/A
advances in science and technology-research journal,N/A
agri-the journal of the turkish society of algology,N/A
aisthesis-pratiche linguaggi e saperi dell estetico,N/A
akroterion-journal for the classics in south africa,N/A
analyses-revue de critique et de theorie litteraire,N/A
anuari de filologia-llengues i literaturas modernas,N/A
asian journal of middle eastern and islamic studies,N/A
catalan journal of communication & cultural studies,N/A
commentationes mathematicae universitatis carolinae,N/A
conservation and management of archaeological sites,N/A
consulting psychology journal-practice and research,N/A
crescent journal of medical and biological sciences,N/A
cuadernos de literatura del caribe e hispanoamerica,N/A
curriculum studies in health and physical education,N/A
daphnis-zeitschrift fur mittlere deutsche literatur,N/A
degres-revue de synthese a orientation semiologique,N/A
desidoc journal of library & information technology,N/A
degenerative neurological and neuromuscular disease,N/A
didactica de las ciencias experimentales y sociales,N/A
dress-the journal of the costume society of america,N/A
early american studies-an interdisciplinary journal,N/A
egyptian journal of chest diseases and tuberculosis,N/A
electronic journal of graph theory and applications,N/A
annali di igiene medicina preventiva e di comunita,N/A
ariel-revista arbitrada de originales de filosofia,N/A
aries-journal for the study of western esotericism,N/A
artificial satellites-journal of planetary geodesy,N/A
asia pacific translation and intercultural studies,N/A
australian journal of competition and consumer law,N/A
beytulhikme-an international journal of philosophy,N/A
bulletin of mathematical analysis and applications,N/A
cailiao gongcheng-journal of materials engineering,N/A
cambridge journal of postcolonial literary inquiry,N/A
canadian ethnic studies-etudes ethniques au canada,N/A
cauriensia-revista anual de ciencias eclesiasticas,N/A
china quarterly of international strategic studies,N/A
chinese journal of urban and environmental studies,N/A
chuzhdoezikovo obuchenie-foreign language teaching,N/A
community college journal of research and practice,N/A
couple and family psychology-research and practice,N/A
eqa-international journal of environmental quality,N/A
estreno-cuadernos del teatro espanol contemporaneo,N/A
egyptian journal of radiology and nuclear medicine,N/A
electronic journal of applied statistical analysis,N/A
endocrinology diabetes and metabolism case reports,N/A
espacio tiempo y forma serie vii-historia del arte,N/A
espacio tiempo y forma-serie iii-historia medieval,N/A
european annals of allergy and clinical immunology,N/A
european journal of comparative law and governance,N/A
european journal of cultural management and policy,N/A
functiones et approximatio commentarii mathematici,N/A
fashion theory-the journal of dress body & culture,N/A
fornvannen-journal of swedish antiquarian research,N/A
fotocinema-revista cientifica de cine y fotografia,N/A
getmobile-mobile computing & communications review,N/A
international journal of risk & safety in medicine,N/A
international studies of management & organization,N/A
india quarterly-a journal of international affairs,N/A
international journal of analysis and applications,N/A
international journal of coal science & technology,N/A
international journal of computer games technology,N/A
international journal of criminal justice sciences,N/A
international journal of cross cultural management,N/A
international journal of disclosure and governance,N/A
international journal of entrepreneurial venturing,N/A
international journal of happiness and development,N/A
international journal of integrative psychotherapy,N/A
international journal of media & cultural politics,N/A
international journal of next-generation computing,N/A
international journal of organizational leadership,N/A
international journal of renewable energy research,N/A
international journal of sport policy and politics,N/A
international journal of the economics of business,N/A
international journal on minority and group rights,N/A
international studies in the philosophy of science,N/A
j19-the journal of nineteenth-century americanists,N/A
jims8m-the journal of indian management & strategy,N/A
journal of flow visualization and image processing,N/A
journal of the american institute for conservation,N/A
journal of the society of architectural historians,N/A
journal of advanced veterinary and animal research,N/A
journal of applied economics and business research,N/A
journal of contemporary water research & education,N/A
journal of dermatology & dermatologic surgery-jdds,N/A
journal of electrochemical science and engineering,N/A
journal of endometriosis and pelvic pain disorders,N/A
journal of environmental accounting and management,N/A
journal of entrepreneurship in emerging economies,N/A
journal of experimental therapeutics and oncology,N/A
journal of historical research in music education,N/A
journal of information technology in construction,N/A
journal of low power electronics and applications,N/A
journal of manufacturing and materials processing,N/A
journal of medical ethics and history of medicine,N/A
journal of medical imaging and radiation sciences,N/A
journal of new approaches in educational research,N/A
journal of orthopaedics trauma and rehabilitation,N/A
journal of postsecondary education and disability,N/A
journal of psychological and educational research,N/A
journal of rajasthan academy of physical sciences,N/A
journal of research in medical and dental science,N/A
journal of social work practice in the addictions,N/A
journal of the american philosophical association,N/A
journal of the british archaeological association,N/A
journal of the egyptian national cancer institute,N/A
l1 educational studies in language and literature,N/A
lied und populare kultur-song and popular culture,N/A
latvian journal of physics and technical sciences,N/A
learning disabilities-a multidisciplinary journal,N/A
medisur-revista de ciencias medicas de cienfuegos,N/A
mediterranean journal of nutrition and metabolism,N/A
ogigia-revista electronica de estudios hispanicos,N/A
pediatric gastroenterology hepatology & nutrition,N/A
perifrasis-revista de literatura teoria y critica,N/A
perspectives on global development and technology,N/A
philosophy and cosmology-filosofiya i kosmologiya,N/A
polish journal of medical physics and engineering,N/A
politicka misao-croatian political science review,N/A
pomorstvo-scientific journal of maritime research,N/A
portal-godisnjak hrvatskog restauratorskog zavoda,N/A
revue des sciences philosophiques et theologiques,N/A
revue philosophique de la france et de l etranger,N/A
res futurae-revue d etudes sur la science-fiction,N/A
recherches de theologie et philosophie medievales,N/A
review of education pedagogy and cultural studies,N/A
revista brasileira de historia & ciencias sociais,N/A
revista mexicana de ciencias politicas y sociales,N/A
revista de estudios internacionales mediterraneos,N/A
revista de la federacion argentina de cardiologia,N/A
sae international journal of electrified vehicles,N/A
sae international journal of fuels and lubricants,N/A
science and technology of archaeological research,N/A
signo y sena-revista del instituto de linguistica,N/A
sixties-a journal of history politics and culture,N/A
stellenbosch papers in linguistics plus-spil plus,N/A
tema-journal of land use mobility and environment,N/A
theleme-revista complutense de estudios franceses,N/A
theory of probability and mathematical statistics,N/A
transactions of a razmadze mathematical institute,N/A
turk onkoloji dergisi-turkish journal of oncology,N/A
visual computing for industry biomedicine and art,N/A
zeitschrift fur vergleichende politikwissenschaft,N/A
e-rph-revista electronica de patrimonio historico,N/A
acm transactions on management information systems,N/A
acm transactions on spatial algorithms and systems,N/A
ariel-a review of international english literature,N/A
acta scientiarum polonorum-technologia alimentaria,N/A
advances and applications in mathematical sciences,N/A
african journal of accounting auditing and finance,N/A
african journal of economic and management studies,N/A
ajalooline ajakiri-the estonian historical journal,N/A
all azimuth-a journal of foreign policy and peace,N/A
anales de geografia de la universidad complutense,N/A
annals of occupational and environmental medicine,N/A
arab journal of nuclear sciences and applications,N/A
archaeology ethnology and anthropology of eurasia,N/A
archiv fur papyrusforschung und verwandte gebiete,N/A
bulletin of the american society of papyrologists,N/A
bulletin of the university of karaganda-chemistry,N/A
business and professional communication quarterly,N/A
criticism-a quarterly for literature and the arts,N/A
canadian journal for the study of adult education,N/A
carpathian journal of food science and technology,N/A
changing english-studies in culture and education,N/A
chilean journal of agricultural & animal sciences,N/A
cinema-journal of philosophy and the moving image,N/A
communications of the korean mathematical society,N/A
contagion-journal of violence mimesis and culture,N/A
cuadernos de administracion-universidad del valle,N/A
decision sciences-journal of innovative education,N/A
desde el jardin de freud-revista de psicoanalisis,N/A
dialogues in philosophy mental and neuro sciences,N/A
eari-educacion artistica-revista de investigacion,N/A
economic and social changes-facts trends forecast,N/A
eikasmos-quaderni bolognesi di filologia classica,N/A
encrucijadas-revista critica de ciencias sociales,N/A
engineering technology & applied science research,N/A
estudios sociales-revista universitaria semestral,N/A
exercer-la revue francophone de medecine generale,N/A
frontiers of agricultural science and engineering,N/A
futuro del pasado-revista electronica de historia,N/A
harold pinter review-essays on contemporary drama,N/A
haser-revista internacional de filosofia aplicada,N/A
health services and outcomes research methodology,N/A
iet cyber-physical systems: theory & applications,N/A
ijole-international journal of language education,N/A
international journal of modelling and simulation,N/A
indian journal of medical and paediatric oncology,N/A
international journal for the study of skepticism,N/A
international journal of automation and computing,N/A
international journal of christianity & education,N/A
international journal of critical infrastructures,N/A
international journal of energy sector management,N/A
international journal of fluid mechanics research,N/A
international journal of geotechnical engineering,N/A
international journal of latin american religions,N/A
international journal of management and economics,N/A
international journal of mathematics for industry,N/A
international journal of noncommunicable diseases,N/A
international journal of power and energy systems,N/A
international journal of public sector management,N/A
international journal of reconfigurable computing,N/A
international journal of reproductive biomedicine,N/A
international journal of training and development,N/A
iranian journal of nursing and midwifery research,N/A
journal for the study of religions and ideologies,N/A
journal of pain & palliative care pharmacotherapy,N/A
journal of the egyptian public health association,N/A
journal for european environmental & planning law,N/A
journal of aggression conflict and peace research,N/A
journal of applied water engineering and research,N/A
journal of astronomy and earth sciences education,N/A
journal of computational biophysics and chemistry,N/A
journal of educational administration and history,N/A
journal of engineering and technological sciences,N/A
journal of industrial and production engineering,N/A
journal of infrastructure policy and development,N/A
journal of machinery manufacture and reliability,N/A
journal of mathematical and fundamental sciences,N/A
journal of mathematics and computer science-jmcs,N/A
journal of medicinal plants and by-products-jmpb,N/A
journal of ophthalmic inflammation and infection,N/A
journal of organisational studies and innovation,N/A
journal of patient-centered research and reviews,N/A
journal of pharmaceutical research international,N/A
journal of research in special educational needs,N/A
journal of siberian federal university-chemistry,N/A
journal of statistics and data science education,N/A
journal of student affairs research and practice,N/A
journal of transport and supply chain management,N/A
journal of the economic science association-jesa,N/A
journal of the egyptian ophthalmological society,N/A
journal of the korean magnetic resonance society,N/A
journal of the world federation of orthodontists,N/A
kastamonu university journal of forestry faculty,N/A
khazar journal of humanities and social sciences,N/A
lea-lingue e letterature d oriente e d occidente,N/A
manchester journal of international economic law,N/A
materiali per una storia della cultura giuridica,N/A
maxillofacial plastic and reconstructive surgery,N/A
micrologus-nature science and medieval societies,N/A
middle east journal of culture and communication,N/A
nowele-north-western european language evolution,N/A
nonlinear engineering - modeling and application,N/A
odovtos international journal of dental sciences,N/A
papers of the bibliographical society of america,N/A
person-centered and experiential psychotherapies,N/A
perspectives on public management and governance,N/A
policy & practice-a development education review,N/A
racar-revue d art canadienne-canadian art review,N/A
rael-revista electronica de linguistica aplicada,N/A
radovi zavoda za povijesne znanosti hazu u zadru,N/A
research on child and adolescent psychopathology,N/A
revista argentina de ciencias del comportamiento,N/A
revista eletronica de estrategia e negocios-reen,N/A
revista espanola de anestesiologia y reanimacion,N/A
revista espanola de nutricion humana y dietetica,N/A
revista espanola de orientacion y psicopedagogia,N/A
revista ibero-americana de ciencia da informacao,N/A
revista de investigaciones veterinarias del peru,N/A
revista de pesquisa-cuidado e fundamental online,N/A
revista de sociedad gaditana de historia natural,N/A
revista on line de politica e gestao educacional,N/A
revue des mondes musulmans et de la mediterranee,N/A
rivista internazionale di filosofia e psicologia,N/A
sae international journal of commercial vehicles,N/A
south african journal of communication disorders,N/A
surface engineering and applied electrochemistry,N/A
scienza & politica-per una storia delle dottrine,N/A
sexuality & culture-an interdisciplinary journal,N/A
south asian journal of human resource management,N/A
stem cells and cloning-advances and applications,N/A
trashumante-revista americana de historia social,N/A
vestnik transplantologii i iskusstvennyh organov,N/A
acta psiquiatrica y psicologica de america latina,N/A
advances and applications in discrete mathematics,N/A
advances in electrical and electronic engineering,N/A
advances in hospitality and tourism research-ahtr,N/A
advances in materials and processing technologies,N/A
analele universitatii bucuresti-stiinte politice,N/A
anales del seminario de historia de la filosofia,N/A
annals of mathematical sciences and applications,N/A
annals of phytomedicine-an international journal,N/A
anuario colombiano de derecho internacional-acdi,N/A
areas-revista internacional de ciencias sociales,N/A
asian diasporic visual cultures and the americas,N/A
asian journal of water environment and pollution,N/A
atoz-novas praticas em informacao e conhecimento,N/A
australian journal of rehabilitation counselling,N/A
avances de investigacion en educacion matematica,N/A
biomedical engineering and computational biology,N/A
bioscience biotechnology research communications,N/A
bulletin of the karaganda university-mathematics,N/A
bulletin of the mineral research and exploration,N/A
business ethics the environment & responsibility,N/A
case reports in plastic surgery and hand surgery,N/A
ciudad y territorio-estudios territoriales-cytet,N/A
computability-the journal of the association cie,N/A
computational methods for differential equations,N/A
coordenadas-revista de historia local y regional,N/A
cukurova university faculty of education journal,N/A
current treatment options in infectious diseases,N/A
dementia and geriatric cognitive disorders extra,N/A
discrete mathematics algorithms and applications,N/A
ekonomika poljoprivreda-economics of agriculture,N/A
electrical control and communication engineering,N/A
environmental processes-an international journal,N/A
european journal of pure and applied mathematics,N/A
forensische psychiatrie psychologie kriminologie,N/A
glasnik hemicara i tehnologa bosne i hercegovine,N/A
international journal for philosophy of religion,N/A
interpretation-a journal of political philosophy,N/A
indian journal of natural products and resources,N/A
indonesian journal of islam and muslim societies,N/A
informatica-journal of computing and informatics,N/A
insan & toplum-the journal of humanity & society,N/A
interdisciplinary description of complex systems,N/A
international journal of architectural computing,N/A
international journal of construction management,N/A
international journal of innovation and learning,N/A
international journal of leadership in education,N/A
international journal of mathematics and physics,N/A
international journal of multicultural education,N/A
international journal of organizational analysis,N/A
international journal of philosophy and theology,N/A
international journal of sports physical therapy,N/A
