Key,Item Type,Publication Year,Author,Title,type,Spectral,RS_type,AG_BG,Method,Area_Country,Latitude,Longitude,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments
YMZSAKU6,journalArticle,2015,"Peng, Yi; Xiong, Xiong; Adhikari, Kabindra; Knadel, Maria; Grunwald, Sabine; Greve, Mogens Humlekrog",Modeling Soil Organic Carbon at Regional Scale by Combining Multi-Spectral Images with Laboratory Spectra,article,multispectral,spaceborne,BG,"Cubic Regression, Bayesian Kriging",Denmank,56,10,PLOS ONE,,1932-6203,10.1371/journal.pone.0142295,https://dx.plos.org/10.1371/journal.pone.0142295,"There is a great challenge in combining soil proximal spectra and remote sensing spectra to improve the accuracy of soil organic carbon (SOC) models. This is primarily because mixing of spectral data from different sources and technologies to improve soil models is still in its infancy. The first objective of this study was to integrate information of SOC derived from visible near-infrared reflectance (Vis-NIR) spectra in the laboratory with remote sensing (RS) images to improve predictions of topsoil SOC in the Skjern river catchment, Denmark. The second objective was to improve SOC prediction results by separately modeling uplands and wetlands. A total of 328 topsoil samples were collected and analyzed for SOC. Satellite Pour l’Observation de la Terre (SPOT5), Landsat Data Continuity Mission (Landsat 8) images, laboratory Vis-NIR and other ancillary environmental data including terrain parameters and soil maps were compiled to predict topsoil SOC using Cubist regression and Bayesian kriging. The results showed that the model developed from RS data, ancillary environmental data and laboratory spectral data yielded a lower root mean square error (RMSE) (2.8%) and higher R2 (0.59) than the model developed from only RS data and ancillary environmental data (RMSE: 3.6%, R2: 0.46). Plant-available water (PAW) was the most important predictor for all the models because of its close relationship with soil organic matter content. Moreover, vegetation indices, such as the Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI), were very important predictors in SOC spatial models. Furthermore, the ‘upland model’ was able to more accurately predict SOC compared with the ‘upland & wetland model’. However, the separately calibrated ‘upland and wetland model’ did not improve the prediction accuracy for wetland sites, since it was not possible to adequately discriminate the vegetation in the RS summer images. We conclude that laboratory Vis-NIR spectroscopy adds critical information that significantly improves the prediction accuracy of SOC compared to using RS data alone. We recommend the incorporation of laboratory spectra with RS data and other environmental data to improve soil spatial modeling and digital soil mapping (DSM).",11/10/15,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,e0142295,,11,10,,PLoS ONE,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/KL6XHCR7/Peng et al. - 2015 - Modeling Soil Organic Carbon at Regional Scale by .pdf
DCFHSKXB,journalArticle,2022,"Potash, Eric; Guan, Kaiyu; Margenot, Andrew; Lee, DoKyoung; DeLucia, Evan; Wang, Sheng; Jang, Chunhwa",How to estimate soil organic carbon stocks of agricultural fields? Perspectives using ex-ante evaluation,article,multispectral,spaceborne,BG,Bayesian,USA,39.828175,-98.5795,Geoderma,,167061,10.1016/j.geoderma.2021.115693,https://linkinghub.elsevier.com/retrieve/pii/S0016706121007734,"Estimating soil organic carbon (SOC) stocks of agricultural fields has a range of important applications from development of sustainable management practices to monitoring carbon stocks. There are many estimation strategies with the potential for more reliable estimates of SOC stock and more efficient use of soil sampling and analysis resources, especially by leveraging readily available auxiliary information such as remote sensing. However, concrete guidance for strategy selection is lacking. This study narrows this gap with a comparison of strategies for estimating deep SOC stock (0–60 cm) in a prototypical field. Using high density SOC stock measurements and simulation, we built on past studies by 1) ex-ante evaluating a large number of strategy options, 2) using a Bayesian approach to quantify the uncertainty of the comparison, and 3) considering multiple Bayesian models to assess sensitivity to this modeling choice. We found that, using readily available auxiliary information, both balanced and stratified sampling offer substantial improvements over simple random sampling. The auxiliary information most important for this improvement is a Sentinel-2 SOC index = blue / (green × red), followed by the topographic wetness index. We found that these results are robust to the choice of mapping method, but that there is uncertainty in the magnitude of improvement. We recommend future studies implement this Bayesian approach for simulated ex-ante evaluation of SOC stock estimation strategies across more fields to investigate the generalizability of these findings.",2022-04,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,115693,,,411,,Geoderma,How to estimate soil organic carbon stocks of agricultural fields?,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/LFNRVWE7/Potash et al. - 2022 - How to estimate soil organic carbon stocks of agri.pdf
R39ASFLM,journalArticle,2016,"Ran, Youhua; Li, Xin; Sun, Rui; Kljun, Natascha; Zhang, Lei; Wang, Xufeng; Zhu, Gaofeng",Spatial representativeness and uncertainty of eddy covariance carbon flux measurements for upscaling net ecosystem productivity to the grid scale,article,multispectral,spaceborne,AG,non explicit or other,China,35,105,Agricultural and Forest Meteorology,,1681923,10.1016/j.agrformet.2016.05.008,https://linkinghub.elsevier.com/retrieve/pii/S0168192316302635,"Eddy covariance (EC) measurements are often used to validate net ecosystem productivity (NEP) estimated from satellite remote sensing data and biogeochemical models. However, EC measurements represent an integrated flux over their footprint area, which usually differs from respective model grids or remote sensing pixels. Quantifying the uncertainties of scale mismatch associated with gridded flux estimates by upscaling single EC tower NEP measurements to the grid scale is an important but not yet fully investigated issue due to limited data availability as well as knowledge of flux variability at the grid scale. The Heihe Watershed Allied Telemetry Experimental Research (HiWATER) Multi-Scale Observation Experiment on Evapotranspiration (MUSOEXE) built a flux observation matrix that includes 17 EC towers within a 5 km × 5 km area in a heterogeneous agricultural landscape in northwestern China, providing an unprecedented opportunity to evaluate the uncertainty of upscaling due to spatial representative differences at the grid scale. Based on the HiWATER-MUSOEXE data, this study evaluated the spatial representativeness and uncertainty of EC CO2 flux measurements for upscaling to the grid scale using a scheme that combines a footprint model and a model-data fusion method. The results revealed the large spatial variability of gross primary productivity (GPP), ecosystem respiration (Re), and NEP within the study site during the growing season from 10 June to 14 September 2012. The variability of fluxes led to high variability in the representativeness of single EC towers for grid-scale NEP. The systematic underestimations of a single EC tower may reach 92(±11)%, 30(±11)%, and 165(±150)% and the overestimations may reach 25(±14)%, 20(±13)%, and 40(±33)% for GPP, Re, and NEP, respectively. This finding suggests that remotely sensed NEP at the global scale (e.g., MODIS products) should not be validated against single EC tower data in the case of heterogeneous surfaces. Any systematic bias should be addressed before upscaling EC data to grid scale. Otherwise, most of the systematic bias may be propagated to grid scale due to the scale dependence of model parameters. A systematic bias greater than 20% of the EC measurements can be corrected effectively using four indicators proposed in this study. These results will contribute to the understanding of spatial representativeness of EC towers within a heterogeneous landscape, to upscaling carbon fluxes from the footprint to the grid scale, to the selection of the location of EC towers, and to the reduction in the bias of NEP products by using an improved parameterization scheme of remote-sensing driven models, such as VPRM.",2016-12,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,114-127,,,230-231,,Agricultural and Forest Meteorology,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/LAIQ4HVE/Ran et al. - 2016 - Spatial representativeness and uncertainty of eddy.pdf
UG8UCVHV,journalArticle,2013,"Revill, Andrew; Sus, Oliver; Barrett, Brian; Williams, Mathew",Carbon cycling of European croplands: A framework for the assimilation of optical and microwave Earth observation data,article,multispectral,spaceborne,AG,EnKF,"France, Germany",,,Remote Sensing of Environment,,344257,10.1016/j.rse.2013.06.002,https://linkinghub.elsevier.com/retrieve/pii/S0034425713001879,"Worldwide, cropland ecosystems play a signiﬁcant role in the global carbon (C) cycle. However, quantifying and understanding the cropland C cycle are complex, due to variable environmental drivers, varied management practices and often highly heterogeneous landscapes. Efforts to upscale processes using simulation models must resolve these challenges. In this study we show how data assimilation (DA) approaches can link C cycle modelling to Earth observation (EO) and reduce uncertainty in upscaling. We evaluate a framework for the assimilation of leaf area index (LAI) time-series, derived from EO optical and radar sensors, for state-updating a model of crop development and C ﬂuxes. Sensors are selected with ﬁne spatial resolutions (20–50 m) to resolve variability across ﬁeld sizes typically used in European agriculture (1.5–97.6 ha). Sequential DA is used to improve the canopy development simulation, which is validated by comparing time-series of net ecosystem exchange (NEE) predictions to independent eddy covariance observations at multiple European cereal crop sites. From assimilating all EO LAI estimates, results indicated adjustments in LAI and, through an enhanced representation of C exchanges, the predicted at-harvest cumulative NEE was improved for all sites by an average of 69% when compared to the model without DA. However, using radar sensors, being relatively unaffected by cloud cover and more sensitive to the structural properties of crops, further improvements were achieved when compared to the combined, and individual, use of optical data. Speciﬁcally, when assimilating radar LAI estimates only, the cumulative NEE estimation was improved by 79% when compared to the simulation without DA. Future developments would include the assimilation of additional state variables, such as soil moisture.",2013-10,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,84-93,,,137,,Remote Sensing of Environment,Carbon cycling of European croplands,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/UQJLCSHF/Revill et al. - 2013 - Carbon cycling of European croplands A framework .pdf
4GICRJ6M,journalArticle,2021,"Safanelli, José L.; Demattê, José A.M.; Chabrillat, Sabine; Poppiel, Raul R.; Rizzo, Rodnei; Dotto, André C.; Silvero, Nélida E.Q.; Mendes, Wanderson de S.; Bonfatti, Benito R.; Ruiz, Luis F.C.; ten Caten, Alexandre; Dalmolin, Ricardo S.D.",Leveraging the application of Earth observation data for mapping cropland soils in Brazil,article,multispectral,spaceborne,BG,boostraping trees,Brazil,-10,-55,Geoderma,,167061,10.1016/j.geoderma.2021.115042,https://linkinghub.elsevier.com/retrieve/pii/S0016706121001166,"Despite the natural spatial variability, cropland soils are subject to many interventions that can lead to alterations of soil functioning. As the cropland expansion took place in Brazil the last decades, leading to significant land-use change and environmental impacts, detailed information about soils is fundamental for sustainable development. Thus, considering the lack of spatially explicit information about cropland soils in Brazil, we aimed at performing high-resolution mapping of key topsoil attributes using spectral and terrain features extracted from Earth observation data (EOD). With the resulting information, we also aimed at performing a general examination of the main agricultural regions and estimate the total organic carbon stocks on croplands soils. For this, we obtained environmental predictors from the historical collection of Landsat data and the digital elevation model from Shuttle Radar Topographic Mission at the cloud-based platform of Google Earth Engine. The environmental predictors (30 m spatial resolution) with georeferenced soil samples (n = 5097) were used for predicting the topsoil content (0–20 cm) of clay, sand, silt, cation exchange capacity, pH, soil organic carbon (SOC) and SOC stock. Prediction models of clay, sand, SOC content, and SOC stocks had the best performance metrics, achieving a R2 ranging from 0.44 to 0.74 and ratio of performance to the interquartile range higher than 1.5. The predicted maps revealed the variability of topsoil among the cropped areas, indicating that the agricultural expansion took place on sandy soils. The SOC stock map provided consistent estimates compared to previous datasets but revealed additional information at the local and regional scales. Thus, this study supports the proposition that EOD is a valuable source for extracting environmental features for mapping and monitoring cropland soils at finer resolutions, assisting the evaluation of soil spatial distribution and the historical agriculture expansion over large geographical areas.",2021-08,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,115042,,,396,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/AVAHTIXZ/Safanelli et al. - 2021 - Leveraging the application of Earth observation da.pdf
8Z7RME56,journalArticle,2020,"Salazar, Diego F.U.; Demattê, José A.M.; Vicente, Luiz E.; Guimarães, Clécia C.B.; Sayão, Veridiana M.; Cerri, Carlos E.P.; de C. Padilha, Manuela C.; Mendes, Wanderson De S.",Emissivity of agricultural soil attributes in southeastern Brazil via terrestrial and satellite sensors,article,multispectral,spaceborne,BG,PLSR,Brazil,-10,-55,Geoderma,,167061,10.1016/j.geoderma.2019.114038,https://linkinghub.elsevier.com/retrieve/pii/S0016706119306597,"Soil texture and organic carbon (OC) content inﬂuence the spectral response. These attributes are relevant for the preservation and proper management of land use in the pursuit of a sustainable agriculture. Laboratory and satellite sensors have been applied as a powerful tool for studying so is, but their analysis using these sensors has mainly focused on the visible (Vis), near infrared (NIR) and shortwave infrared (SWIR) regions of the electromagnetic spectrum, with few studies in the Medium Infrared (MIR). The aim of this study was to identify the spectral pattern of soils with diﬀerent granulometry (sand and clay) and OC content using laboratory and satellite sensors in the MIR region, speciﬁcally in the Thermal Infrared (TIR) range (ASTER, Landsat satellites). The study performed qualitative and quantitative analyses of clay, OC and sand fractions (ﬁne and coarse). The study area is located in the region of Piracicaba, São Paulo, Brazil, where collected 150 soil samples (0–20 cm depth). Soil texture was determined by the pipette method and OC via dry combustion. Reﬂectance and emissivity (Ɛ) spectral data were obtained with the Fourier Transform Infrared (FT-IR) Alpha sensor (Bruker Optics Corporation). An image “ASTER_05” from July 15, 2017 was acquired with values of Ɛ. Samples were separated by textural classes and the spectral behavior in the TIR region was described. The data obtained by the laboratory sensor were resampled to the satellite sensor bands. The behavior between spectra of both sensors was similar and had signiﬁcant correlation with the studied attributes, mainly sand. For the partial least squares regression (PLSR) models, six strategies were used (MIR, MIR_ASTER, ASTER, TIR, TIR Correlation Index (TIR_CID), and MIR Correlation Index (MIR_CID)), which consisted in the use of all sensors bands, or by the selection of bands that presented the most signiﬁcant correlations with each one of the attributes. Models presented a good performance in the prediction of all attributes using the whole MIR. In the TIR region, the models for total sand content and for ﬁne and coarse fractions were good. Models created with ASTER sensor data were not as promising as those with laboratory ones. The use of speciﬁc bands was useful in estimating some attributes in the MIR and TIR, improving the predictive performance and validation of models. Therefore, the discrimination of soil attributes with satellite sensors can be improved with the identiﬁcation of speciﬁc bands, as observed in the results with laboratory sensors.",2020-03,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,114038,,,361,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/29AIGZ2X/Salazar et al. - 2020 - Emissivity of agricultural soil attributes in sout.pdf
UP7V7R2N,journalArticle,2018,"Samsonova, V. P.; Meshalkina, J. L.; Blagoveschensky, Y. N.; Yaroslavtsev, A. M.; Stoorvogel, J. J.",The role of positional errors while interpolating soil organic carbon contents using satellite imagery,article,multispectral,spaceborne,BG,linear and expontial models,Russia,60,100,Precision Agriculture,,"1385-2256, 1573-1618",10.1007/s11119-018-9575-4,http://link.springer.com/10.1007/s11119-018-9575-4,"ncreasingly, soil surveys make use of a combination of legacy data, ancillary data and new field data. While combining the different sources of information, positional errors can play a large role. For example, the spatial discrepancy between remote sensing images and field data can depend on many factors, including the positioning accuracy of ground-based observations. The accuracy of GPS receivers for the territory of Russia is approximately 3–10 m. The aim of the study was to estimate the impact of sampling positioning accuracy on the relationship between soil organic carbon content and the infrared channel of the WorldView-2 satellite image and for mapping soil organic carbon contents in an agricultural field in the territory of the Bryansk Opolje (Russia). Intensive sampling of the topsoil took place. The positional accuracy was also measured and used to perturb the locations of the samples. The data were used to study: (i) the relationships between soil organic carbon and infrared reflectance, (ii) the variation in soil organic carbon through five different interpolation techniques, and (iii) the fraction of the fields with low soil organic matter contents. The study showed that the positional inaccuracies can have an important impact. The standardized methods to estimate the positional accuracy, perturb the locations and evaluate its impact seems to be an easy way to explore the quality of data.",2018-12,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,1085-1099,,6,19,,Precision Agric,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/DVLIB6F3/Samsonova et al. - 2018 - The role of positional errors while interpolating .pdf
ZDDKUSDN,journalArticle,2018,"Sayão, Veridiana Maria; Demattê, José A.M.",Soil texture and organic carbon mapping using surface temperature and reflectance spectra in Southeast Brazil,article,multispectral,spaceborne,BG,spearmans correlation,Brazil,-10,-55,Geoderma Regional,,23520094,10.1016/j.geodrs.2018.e00174,https://linkinghub.elsevier.com/retrieve/pii/S2352009417302420,"The generation of soil attributes maps is crucial for proper ﬁeld management, especially in tropical countries where agriculture plays a major role in economy, such as Brazil. The Land Surface Temperature (LST) derived from thermal infrared wavelength can be related with soil properties, particularly texture. The availability of LST data on a regular basis, with good spatial resolution to cover extensive agricultural regions and also integrated with reﬂectance data enhances its use in soil attributes mapping. The objectives of this research were to verify the relationships between soil attributes texture and organic carbon (OC) with the remote sensing (RS) products LST and surface reﬂectance and perform maps of classes of such attributes based on these variables. The study area (473 ha) is located near the municipality of Barra Bonita, southeast of São Paulo State, Brazil. A regular sampling grid with 100 × 100 m2 and with sampling density of one sample per hectare was established on the study site, from where surface samples (0–0.2 m) were collected via auger and had their contents determined by wet chemistry analysis. Images from Landsat 5 were obtained for extraction of LST and reﬂectance. The algorithm Spectral Angle Mapper (SAM) was applied for soil attributes mapping using 55 toposequences samples and considering (a) three LST images; (b) only reﬂectance from one Landsat scene and (c) reﬂectance + LST from the same scene as in (b). Besides this, maps were performed using only one LST image with a histogram-based classiﬁcation. The weighted kappa (kw) was calculated with validation samples and indicated the classiﬁcation accuracy. Mapping of texture and OC through SAM algorithm produced better results than the classiﬁcation of LST, regardless of the variables being considered. For both attributes, the best map was produced using reﬂectance + LST, with substantial agreement for texture and moderate for OC. The use of LST for mapping soil attributes concomitantly with reﬂectance spectra improved the mapping accuracy.",2018-09,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,e00174,,,14,,Geoderma Regional,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/W87J4JTD/Sayão and Demattê - 2018 - Soil texture and organic carbon mapping using surf.pdf
J5L9PMJE,journalArticle,2017,"Schillaci, Calogero; Acutis, Marco; Lombardo, Luigi; Lipani, Aldo; Fantappiè, Maria; Märker, Michael; Saia, Sergio","Spatio-temporal topsoil organic carbon mapping of a semi-arid Mediterranean region: The role of land use, soil texture, topographic indices and the influence of remote sensing data to modelling",article,multispectral,spaceborne,BG,BRT,Italy,42.833333,12.833333,Science of The Total Environment,,489697,10.1016/j.scitotenv.2017.05.239,https://linkinghub.elsevier.com/retrieve/pii/S0048969717313475,"SOC is the most important indicator of soil fertility and monitoring its space-time changes is a prerequisite to establish strategies to reduce soil loss and preserve its quality. Here we modelled the topsoil (0–0.3 m) SOC concentration of the cultivated area of Sicily in 1993 and 2008. Sicily is an extremely variable region with a high number of ecosystems, soils, and microclimates. We studied the role of time and land use in the modelling of SOC, and assessed the role of remote sensing (RS) covariates in the boosted regression trees modelling. The models obtained showed a high pseudo-R2 (0.63–0.69) and low uncertainty (s.d. b 0.76 g C kg−1 with RS, and b1.25 g C kg−1 without RS). These outputs allowed depicting a time variation of SOC at 1 arcsec. SOC estimation strongly depended on the soil texture, land use, rainfall and topographic indices related to erosion and deposition. RS indices captured one fifth of the total variance explained, slightly changed the ranking of variance explained by the non-RS predictors, and reduced the variability of the model replicates. During the study period, SOC decreased in the areas with relatively high initial SOC, and increased in the area with high temperature and low rainfall, dominated by arables.  This was likely due to the compulsory application of some Good Agricultural and Environmental practices. These results confirm that the importance of texture and land use in short-term SOC variation is comparable to climate. The present results call for agronomic and policy intervention at the district level to maintain fertility and yield potential. In addition, the present results suggest that the application of RS covariates enhanced the modelling performance.",2017-12,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,821-832,,,601-602,,Science of The Total Environment,Spatio-temporal topsoil organic carbon mapping of a semi-arid Mediterranean region,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/5ZC9X3ZA/Schillaci et al. - 2017 - Spatio-temporal topsoil organic carbon mapping of .pdf
BIDQECIC,journalArticle,2013,"Shoshany, Maxim; Goldshleger, Naftaly; Chudnovsky, Alexandra",Monitoring of agricultural soil degradation by remote-sensing methods: a review,review,,multiple,BG,multiple,multiple,,,International Journal of Remote Sensing,,"0143-1161, 1366-5901",10.1080/01431161.2013.793872,https://www.tandfonline.com/doi/full/10.1080/01431161.2013.793872,"Agricultural land degradation is a global problem that severely hampers the production of food needed to sustain the growing world population. Mapping of soil degradation by remote sensing is instrumental for understanding the spatial extent and rate of this problem. Methods aimed at detecting soil loss, soil drying, and soil-quality deterioration have been demonstrated in numerous studies utilizing passive and active remote sensors. This review presents a short description of each form of soil degradation, including data regarding known extents and rates, and then reviews the methods with respect to direct and indirect modelling approaches. Two types of obstacles to achieving wide regional detection of soil degradation are revealed. The first concerns the complex and non-unique relationships between remote-sensing indicators and different soil properties, such as roughness, soil moisture (SM), soil salinity, and organic matter content. The second concerns the difficulties involved in acquiring data on subsurface soil properties. In view of these difficulties, we recommend expanding the use of phenomenological models capable of estimating soil-degradation potential according to combinations of environmental conditions, thus enabling remote-sensing efforts to be focused on local areas where the environmental threat is highest. The second avenue for improving the contribution of remote sensing on a wide regional scale involves the application of integrative methods, such as those based on hyperspectral, multisensory, and multitemporal approaches, as well as those that incorporate environmental information (such as topography, soil types, and precipitation).",9/10/13,9/1/22 17:07,9/1/22 17:07,9/1/22 17:07,6152-6181,,17,34,,International Journal of Remote Sensing,Monitoring of agricultural soil degradation by remote-sensing methods,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/A5JWVCJC/Shoshany et al. - 2013 - Monitoring of agricultural soil degradation by rem.pdf
ITAUD34Q,journalArticle,2021,"Silvero, Nélida Elizabet Quiñonez; Demattê, José Alexandre Melo; Amorim, Merilyn Taynara Accorsi; Santos, Natasha Valadares dos; Rizzo, Rodnei; Safanelli, José Lucas; Poppiel, Raul Roberto; Mendes, Wanderson de Sousa; Bonfatti, Benito Roberto",Soil variability and quantification based on Sentinel-2 and Landsat-8 bare soil images: A comparison,article,multispectral,spaceborne,AG/BG,Cubist,Brazil,-10,-55,Remote Sensing of Environment,,344257,10.1016/j.rse.2020.112117,https://linkinghub.elsevier.com/retrieve/pii/S0034425720304909,"There is a worldwide need for detailed spatial information to support soil mapping, mainly in the tropics, where main agricultural areas are concentrated. In this line, satellite images are useful tools that can assist in obtaining soil information from a synoptic point of view. This study aimed at evaluating how satellite images at different resolutions (spatial, spectral and temporal) can influence the representation of soil variability over time, the percentage of bare soil areas and spatial predictions of soil properties in southeastern Brazil. We used single-date and multi-temporal images (SYSI, Synthetic Soil Images) of bare soil pixels from the Sentinel2-MultiSpectral Instrument (S2-MSI) and the Landsat-8 Operational Land Imager (L8-OLI) to conduct this research. Two SYSIs were obtained from images acquired in four years (2016–2019) for each satellite (SYSI S2-MSI and SYSI L8-OLI) and a third SYSI, named SYSI Combined, was obtained by combining the images from both satellites. The singledate images for each satellite was acquired in September, when the influence of clouds was low and bare soil pixels was predominant. Single-date images and SYSIs were compared by means of their spectral patterns and ability to predict topsoil properties (clay, sand, silt, and organic matter contents and soil color) using the Cubist algorithm. We found that the SYSIs outperformed single-date images and that the SYSI Combined and SYSI L8OLI provided the best prediction performances. The SYSIs also had the highest percentage of areas with bare soil pixels (~30–50%) when compared to the single-date images (~20%). Our results suggest that bare soil images obtained by combining Landsat-8 and Sentinel-2 images are more important for soil mapping than spatial or spectral resolutions. Soil maps obtained via satellite images are important tools for soil survey, land planning, management and precision agriculture.",2021-01,9/1/22 17:07,9/1/22 17:07,9/1/22 17:07,112117,,,252,,Remote Sensing of Environment,Soil variability and quantification based on Sentinel-2 and Landsat-8 bare soil images,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/YG2IC5WS/Silvero et al. - 2021 - Soil variability and quantification based on Senti.pdf
YC89BQAQ,journalArticle,2021,"Sodango, Terefe Hanchiso; Sha, Jinming; Li, Xiaomei; Noszczyk, Tomasz; Shang, Jiali; Aneseyee, Abreham Berta; Bao, Zhongcong","Modeling the Spatial Dynamics of Soil Organic Carbon Using Remotely-Sensed Predictors in Fuzhou City, China",article,multispectral,spaceborne,BG,"RF, CART",China,35,105,Remote Sensing,,2072-4292,10.3390/rs13091682,https://www.mdpi.com/2072-4292/13/9/1682,"Assessing the spatial dynamics of soil organic carbon (SOC) is essential for carbon monitoring. Since variability of SOC is mainly attributed to biophysical land surface variables, integrating a compressive set of such indices may support the pursuit of an optimum set of predictor variables. Therefore, this study was aimed at predicting the spatial distribution of SOC in relation to remotely sensed variables and other covariates. Hence, the land surface variables were combined from remote sensing, topographic, and soil spectral sources. Moreover, the most inﬂuential variables for prediction were selected using the random forest (RF) and classiﬁcation and regression tree (CART). The results indicated that the RF model has good prediction performance with corresponding R2 and root-mean-square error (RMSE) values of 0.96 and 0.91 mg·g 1, respectively. The distribution of SOC content showed variability across landforms (CV = 78.67%), land use (CV = 93%), and lithology (CV = 64.67%). Forestland had the highest SOC (13.60 mg·g 1) followed by agriculture (10.43 mg·g 1), urban (9.74 mg·g 1), and water body (4.55 mg·g 1) land uses. Furthermore, soils developed in bauxite and laterite lithology had the highest SOC content (14.69 mg·g 1). The SOC content was remarkably lower in soils developed in sandstones; however, the values obtained in soils from the rest of the lithologies could not be signiﬁcantly differentiated. The mean SOC concentration was 11.70 mg·g 1, where the majority of soils in the study area were classiﬁed as highly humus and extremely humus. The soils with the highest SOC content (extremely humus) were distributed in the mountainous regions of the study area. The biophysical land surface indices, brightness removed vegetation indices, topographic indices, and soil spectral bands were the most inﬂuential predictors of SOC in the study area. The spatial variability of SOC may be inﬂuenced by landform, land use, and lithology of the study area. Remotely sensed predictors including land moisture, land surface temperature, and built-up indices added valuable information for the prediction of SOC. Hence, the land surface indices may provide new insights into SOC modeling in complex landscapes of warm subtropical urban regions.",4/27/21,9/1/22 17:07,9/1/22 17:07,9/1/22 17:07,1682,,9,13,,Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/ZRMZ2ZKY/Sodango et al. - 2021 - Modeling the Spatial Dynamics of Soil Organic Carb.pdf
U9F6Y7DP,journalArticle,2016,"Sreenivas, Kandrika; Dadhwal, V.K.; Kumar, Suresh; Harsha, G. Sri; Mitran, Tarik; Sujatha, G.; Suresh, G. Janaki Rama; Fyzee, M.A.; Ravisankar, T.",Digital mapping of soil organic and inorganic carbon status in India,article,multispectral,spaceborne,BG,RF,India,20,77,Geoderma,,167061,10.1016/j.geoderma.2016.02.002,https://linkinghub.elsevier.com/retrieve/pii/S0016706116300520,"Reliable mapping of soil organic carbon (SOC) and Soil Inorganic Carbon (SIC) densities and estimates of their pool size are important from global warming perspective to understand the sequestration potential and losses. In this study, ﬁrst spatially explicit mapping of SOC and SIC at 250 m resolution and an estimate of their pool size in India was undertaken using a large number of remote sensing derived data layers and data mining approach. The SOC and SIC densities up to 100 cm depth or paralithic contact (whichever is shallower) were estimated for 1198 soil samples located across India using a stratiﬁed random sampling that integrated land use, soil, topography and agro-ecological regions.",2016-05,9/1/22 17:07,9/1/22 17:07,9/1/22 17:07,160-173,,,269,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/7ZXFGWKI/Sreenivas et al. - 2016 - Digital mapping of soil organic and inorganic carb.pdf
